dataset,model_key,loss,eval_split,training_seed,strategy,metric,n_queries,mean
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-rank-matched,NDCG@10,32,0.014202480352371642
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-rank-matched,MRR@10,32,0.01953125
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-rank-matched,MAP@100,32,0.0065243728723531295
course_skill_atlas,bge-base,cached-mnrl,dev,33,CA-HNM-rank-matched,Recall@100,32,0.0396875
course_skill_atlas,bge-base,cached-mnrl,dev,33,DPR-Random,NDCG@10,32,0.0724068718398097
course_skill_atlas,bge-base,cached-mnrl,dev,33,DPR-Random,MRR@10,32,0.11028025793650793
course_skill_atlas,bge-base,cached-mnrl,dev,33,DPR-Random,MAP@100,32,0.01728364974525249
course_skill_atlas,bge-base,cached-mnrl,dev,33,DPR-Random,Recall@100,32,0.076875
course_skill_atlas,bge-base,cached-mnrl,dev,33,DenseNeg,NDCG@10,32,0.11646980610786803
course_skill_atlas,bge-base,cached-mnrl,dev,33,DenseNeg,MRR@10,32,0.22514880952380953
course_skill_atlas,bge-base,cached-mnrl,dev,33,DenseNeg,MAP@100,32,0.018865197183536457
course_skill_atlas,bge-base,cached-mnrl,dev,33,DenseNeg,Recall@100,32,0.0778125
course_skill_atlas,bge-base,cached-mnrl,dev,44,CA-HNM-full,NDCG@10,32,0.01636338041885366
course_skill_atlas,bge-base,cached-mnrl,dev,44,CA-HNM-full,MRR@10,32,0.033854166666666664
course_skill_atlas,bge-base,cached-mnrl,dev,44,CA-HNM-full,MAP@100,32,0.005369390803793535
course_skill_atlas,bge-base,cached-mnrl,dev,44,CA-HNM-full,Recall@100,32,0.031875
course_skill_atlas,bge-base,cached-mnrl,dev,44,CA-HNM-rank-matched,NDCG@10,32,0.009070618280298893
course_skill_atlas,bge-base,cached-mnrl,dev,44,CA-HNM-rank-matched,MRR@10,32,0.013628472222222222
course_skill_atlas,bge-base,cached-mnrl,dev,44,CA-HNM-rank-matched,MAP@100,32,0.005701574309077575
course_skill_atlas,bge-base,cached-mnrl,dev,44,CA-HNM-rank-matched,Recall@100,32,0.0378125
course_skill_atlas,bge-base,cached-mnrl,dev,44,DPR-Random,NDCG@10,32,0.06773915000086889
course_skill_atlas,bge-base,cached-mnrl,dev,44,DPR-Random,MRR@10,32,0.12222222222222222
course_skill_atlas,bge-base,cached-mnrl,dev,44,DPR-Random,MAP@100,32,0.018002329074347373
course_skill_atlas,bge-base,cached-mnrl,dev,44,DPR-Random,Recall@100,32,0.0809375
course_skill_atlas,bge-base,cached-mnrl,dev,44,DenseNeg,NDCG@10,32,0.058326156936557856
course_skill_atlas,bge-base,cached-mnrl,dev,44,DenseNeg,MRR@10,32,0.12646329365079365
course_skill_atlas,bge-base,cached-mnrl,dev,44,DenseNeg,MAP@100,32,0.01331088169906646
course_skill_atlas,bge-base,cached-mnrl,dev,44,DenseNeg,Recall@100,32,0.07
course_skill_atlas,bge-base,cached-mnrl,dev,55,CA-HNM-full,NDCG@10,32,0.025401722274357188
course_skill_atlas,bge-base,cached-mnrl,dev,55,CA-HNM-full,MRR@10,32,0.0546875
course_skill_atlas,bge-base,cached-mnrl,dev,55,CA-HNM-full,MAP@100,32,0.0059351908259999845
course_skill_atlas,bge-base,cached-mnrl,dev,55,CA-HNM-full,Recall@100,32,0.0325
course_skill_atlas,bge-base,cached-mnrl,dev,55,CA-HNM-rank-matched,NDCG@10,32,0.014971440247642721
course_skill_atlas,bge-base,cached-mnrl,dev,55,CA-HNM-rank-matched,MRR@10,32,0.023561507936507936
course_skill_atlas,bge-base,cached-mnrl,dev,55,CA-HNM-rank-matched,MAP@100,32,0.005710892784524043
course_skill_atlas,bge-base,cached-mnrl,dev,55,CA-HNM-rank-matched,Recall@100,32,0.036875
course_skill_atlas,bge-base,cached-mnrl,dev,55,DPR-Random,NDCG@10,32,0.06212572457085394
course_skill_atlas,bge-base,cached-mnrl,dev,55,DPR-Random,MRR@10,32,0.10819692460317461
course_skill_atlas,bge-base,cached-mnrl,dev,55,DPR-Random,MAP@100,32,0.013645771091905732
course_skill_atlas,bge-base,cached-mnrl,dev,55,DPR-Random,Recall@100,32,0.0640625
course_skill_atlas,bge-base,cached-mnrl,dev,55,DenseNeg,NDCG@10,32,0.06565353776299235
course_skill_atlas,bge-base,cached-mnrl,dev,55,DenseNeg,MRR@10,32,0.14947916666666666
course_skill_atlas,bge-base,cached-mnrl,dev,55,DenseNeg,MAP@100,32,0.013847634992980085
course_skill_atlas,bge-base,cached-mnrl,dev,55,DenseNeg,Recall@100,32,0.069375
course_skill_atlas,bge-base,cached-mnrl,dev,66,CA-HNM-full,NDCG@10,32,0.024619153879715264
course_skill_atlas,bge-base,cached-mnrl,dev,66,CA-HNM-full,MRR@10,32,0.07291666666666667
course_skill_atlas,bge-base,cached-mnrl,dev,66,CA-HNM-full,MAP@100,32,0.007085838958180391
course_skill_atlas,bge-base,cached-mnrl,dev,66,CA-HNM-full,Recall@100,32,0.03375
