dataset,model_key,loss,eval_split,baseline,strategy,metric,n_seeds,n_queries_min,baseline_mean,strategy_mean,mean_diff,seed_sd_diff,paired_effect_dz,seed_win_rate,hierarchical_ci95_low,hierarchical_ci95_high
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,NDCG@10,10,32,0.014528314524869764,0.020699258748896554,0.00617094422402679,0.007511195854550358,0.821566145194892,0.7,-0.0011743440107770359,0.013436837563156976
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,MRR@10,10,32,0.02290426587301587,0.04417410714285715,0.02126984126984127,0.019962934241120008,1.065466680044924,0.8,0.00430047123015873,0.04048983134920633
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,MAP@100,10,32,0.005938812440881611,0.005915620033353086,-2.319240752852496e-05,0.0008464024025987299,-0.02740115984703818,0.5,-0.0007435097745051871,0.0007491566217483636
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,Recall@100,10,32,0.037343749999999995,0.0328125,-0.0045312500000000006,0.001719538960335331,-2.635154017746915,0.0,-0.00690625,-0.0020937500000000006
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,NDCG@10,10,32,0.014528314524869764,0.07861357355199833,0.06408525902712855,0.0166856409811262,3.8407430136857177,1.0,0.044620222518998096,0.08510277055587606
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,MRR@10,10,32,0.02290426587301587,0.1321205357142857,0.10921626984126984,0.03179994491997715,3.434479843160317,1.0,0.07421741691468255,0.14754839409722223
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,MAP@100,10,32,0.005938812440881611,0.018564144724822863,0.012625332283941252,0.00262120081238587,4.8166215363138924,1.0,0.009294369350730934,0.0161146640578941
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,Recall@100,10,32,0.037343749999999995,0.07809375,0.04075,0.006856350969073207,5.943394698405922,1.0,0.0310625,0.05068828124999999
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,NDCG@10,10,32,0.014528314524869764,0.07709005724537023,0.06256174272050047,0.018253402975377586,3.427401608614644,1.0,0.04450706084692476,0.08300144265174011
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,MRR@10,10,32,0.02290426587301587,0.15973586309523807,0.1368315972222222,0.035652511285780515,3.8379231164228114,1.0,0.09907043650793651,0.17778301711309516
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,MAP@100,10,32,0.005938812440881611,0.015004147898466765,0.009065335457585155,0.0018339681625377023,4.9430168106305885,1.0,0.006637823267601865,0.011640339800568238
course_skill_atlas,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,Recall@100,10,32,0.037343749999999995,0.0704375,0.03309375,0.00640849384822813,5.164044904115811,1.0,0.024625,0.042125
course_skill_atlas,bge-base,triplet,dev,CA-HNM-rank-matched,CA-HNM-full,NDCG@10,10,32,0.05686579105320522,0.05847966861064184,0.0016138775574366306,0.009703188462908205,0.166324457533305,0.4,-0.009492599158573069,0.012582799490737796
course_skill_atlas,bge-base,triplet,dev,CA-HNM-rank-matched,CA-HNM-full,MRR@10,10,32,0.1043452380952381,0.10524305555555555,0.0008978174603174606,0.022960105221303463,0.03910336871994922,0.4,-0.021127914186507935,0.02482105654761902
course_skill_atlas,bge-base,triplet,dev,CA-HNM-rank-matched,CA-HNM-full,MAP@100,10,32,0.010864811256605217,0.011468373996169932,0.0006035627395647149,0.001451410593722239,0.41584562092580435,0.7,-0.0009157751121545523,0.002065060978750751
course_skill_atlas,bge-base,triplet,dev,CA-HNM-rank-matched,CA-HNM-full,Recall@100,10,32,0.05,0.0485,-0.0014999999999999994,0.0034479009314847394,-0.4350473026364094,0.4,-0.00575,0.00284375
course_skill_atlas,bge-base,triplet,dev,CA-HNM-rank-matched,DPR-Random,NDCG@10,10,32,0.05686579105320522,0.22827402286999549,0.17140823181679027,0.047110382369875164,3.638438560549609,1.0,0.1278697455306769,0.21611199597515784
course_skill_atlas,bge-base,triplet,dev,CA-HNM-rank-matched,DPR-Random,MRR@10,10,32,0.1043452380952381,0.32029761904761905,0.21595238095238095,0.06701975506729649,3.222219787815352,1.0,0.15197166418650793,0.2803425099206349
course_skill_atlas,bge-base,triplet,dev,CA-HNM-rank-matched,DPR-Random,MAP@100,10,32,0.010864811256605217,0.07125707185724582,0.06039226060064061,0.010492069040317204,5.7559915369004075,1.0,0.048557923344371666,0.07328933259809732
course_skill_atlas,bge-base,triplet,dev,CA-HNM-rank-matched,DPR-Random,Recall@100,10,32,0.05,0.155,0.10500000000000001,0.014693778209009264,7.145881645036733,1.0,0.08653046875,0.12340703125
course_skill_atlas,bge-base,triplet,dev,CA-HNM-rank-matched,DenseNeg,NDCG@10,10,32,0.05686579105320522,0.044731290352392386,-0.012134500700812822,0.01914393879943187,-0.6338560119703754,0.2,-0.03434517512556813,0.00937941938820844
course_skill_atlas,bge-base,triplet,dev,CA-HNM-rank-matched,DenseNeg,MRR@10,10,32,0.1043452380952381,0.09000868055555555,-0.01433655753968254,0.045394488960361294,-0.3158215428353274,0.3,-0.06070603918650793,0.03100263516865076
course_skill_atlas,bge-base,triplet,dev,CA-HNM-rank-matched,DenseNeg,MAP@100,10,32,0.010864811256605217,0.007412264521427058,-0.0034525467351781596,0.0030698753634324735,-1.1246537160120453,0.0,-0.007400453928797475,0.00025368635274036213
course_skill_atlas,bge-base,triplet,dev,CA-HNM-rank-matched,DenseNeg,Recall@100,10,32,0.05,0.03815625,-0.01184375,0.007995020694330803,-1.481390787193121,0.0,-0.021562500000000002,-0.00290625
course_skill_atlas,e5-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,NDCG@10,10,32,0.07643548205491674,0.07383338287640898,-0.0026020991785077677,0.015093913847808416,-0.17239393339227144,0.5,-0.015295320653593044,0.010506533433992946
course_skill_atlas,e5-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,MRR@10,10,32,0.10784598214285715,0.09351314484126985,-0.014332837301587301,0.02910834888753174,-0.4923960942259636,0.4,-0.03740302579365079,0.007633277529761898
course_skill_atlas,e5-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,MAP@100,10,32,0.018019055247442205,0.018989053048992184,0.0009699978015499785,0.001819027823742803,0.5332506676858445,0.6,-0.0006450734408075003,0.0027215796522469227
course_skill_atlas,e5-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,Recall@100,10,32,0.07609375,0.07646875,0.0003749999999999998,0.004798003056828261,0.07815751585783587,0.4,-0.00375,0.004718749999999999
course_skill_atlas,e5-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,NDCG@10,10,32,0.07643548205491674,0.17770315314699772,0.10126767109208097,0.04327469052944284,2.3401131204666012,1.0,0.05982569603789538,0.14186900167761482
course_skill_atlas,e5-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,MRR@10,10,32,0.10784598214285715,0.24222594246031748,0.1343799603174603,0.06453843183590302,2.082169592517185,1.0,0.07530750868055555,0.19408038814484124
course_skill_atlas,e5-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,MAP@100,10,32,0.018019055247442205,0.04766583437403755,0.02964677912659534,0.008440051876352411,3.5126299649485055,1.0,0.02196974224841716,0.03744265991158442
course_skill_atlas,e5-base,cached-mnrl,dev,CA-HNM-rank-matched,DPR-Random,Recall@100,10,32,0.07609375,0.144125,0.06803125,0.020502609293629487,3.3181752149536634,1.0,0.052405468749999996,0.08456406249999998
course_skill_atlas,e5-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,NDCG@10,10,32,0.07643548205491674,0.07968313369520552,0.0032476516402887854,0.021041016219549805,0.15434861160704302,0.6,-0.027481617406546463,0.03165479427402564
course_skill_atlas,e5-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,MRR@10,10,32,0.10784598214285715,0.14471354166666667,0.036867559523809525,0.02738402994120361,1.3463160682692814,0.9,-0.0061395399305555565,0.08024993799603174
course_skill_atlas,e5-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,MAP@100,10,32,0.018019055247442205,0.013721794066941373,-0.004297261180500833,0.0028130186333550997,-1.527633386265725,0.0,-0.008866140791440248,-0.00013774617424711474
course_skill_atlas,e5-base,cached-mnrl,dev,CA-HNM-rank-matched,DenseNeg,Recall@100,10,32,0.07609375,0.06859375,-0.0075,0.007029513674501245,-1.066930138738529,0.1,-0.018,0.002719531249999989
course_skill_atlas,e5-base,triplet,dev,CA-HNM-rank-matched,CA-HNM-full,NDCG@10,10,32,0.20362594968559394,0.294711478226066,0.09108552854047211,0.036918399228741725,2.4672122963977317,1.0,0.06172709438938064,0.12282166241551291
course_skill_atlas,e5-base,triplet,dev,CA-HNM-rank-matched,CA-HNM-full,MRR@10,10,32,0.35126488095238095,0.477702132936508,0.12643725198412697,0.04150123071279371,3.0465904218389785,1.0,0.07965169270833332,0.1721075768849205
course_skill_atlas,e5-base,triplet,dev,CA-HNM-rank-matched,CA-HNM-full,MAP@100,10,32,0.03635837825438633,0.05741072067297816,0.021052342418591833,0.008195407611244777,2.5687974799089037,1.0,0.015155821919784887,0.02768119029349485
course_skill_atlas,e5-base,triplet,dev,CA-HNM-rank-matched,CA-HNM-full,Recall@100,10,32,0.09812499999999999,0.13403125,0.03590625,0.007240070427258748,4.959378553116493,1.0,0.027749218750000002,0.044687500000000005
course_skill_atlas,e5-base,triplet,dev,CA-HNM-rank-matched,DPR-Random,NDCG@10,10,32,0.20362594968559394,0.07049140340493862,-0.1331345462806553,0.026513161669602107,-5.021451154703169,0.0,-0.16919188188177742,-0.09765265454527775
course_skill_atlas,e5-base,triplet,dev,CA-HNM-rank-matched,DPR-Random,MRR@10,10,32,0.35126488095238095,0.0935280257936508,-0.2577368551587301,0.040750331039539886,-6.324779421022349,0.0,-0.3167695622519841,-0.2020957341269842
course_skill_atlas,e5-base,triplet,dev,CA-HNM-rank-matched,DPR-Random,MAP@100,10,32,0.03635837825438633,0.014642756419985989,-0.021715621834400338,0.0034816753536362063,-6.237118521610835,0.0,-0.028039126397036814,-0.015641609902043718
course_skill_atlas,e5-base,triplet,dev,CA-HNM-rank-matched,DPR-Random,Recall@100,10,32,0.09812499999999999,0.05809375,-0.040031250000000004,0.007530969047318325,-5.315550993302062,0.0,-0.05359609375000001,-0.0265625
course_skill_atlas,e5-base,triplet,dev,CA-HNM-rank-matched,DenseNeg,NDCG@10,10,32,0.20362594968559394,0.01577555552605142,-0.1878503941595425,0.028515457289849083,-6.58766900527362,0.0,-0.22285417579343506,-0.15441197567441162
course_skill_atlas,e5-base,triplet,dev,CA-HNM-rank-matched,DenseNeg,MRR@10,10,32,0.35126488095238095,0.04229786706349206,-0.30896701388888886,0.04336836963236871,-7.12424784486909,0.0,-0.3649766865079365,-0.25240342881944444
course_skill_atlas,e5-base,triplet,dev,CA-HNM-rank-matched,DenseNeg,MAP@100,10,32,0.03635837825438633,0.0010769380576981591,-0.03528144019668817,0.004074251116338762,-8.659613555777357,0.0,-0.04158396253352796,-0.029331353036040276
course_skill_atlas,e5-base,triplet,dev,CA-HNM-rank-matched,DenseNeg,Recall@100,10,32,0.09812499999999999,0.00821875,-0.08990625,0.0072304723844834485,-12.434353555230814,0.0,-0.10165703125,-0.07887421875000002
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,NDCG@10,10,500,0.1680035553170322,0.17182170593006313,0.0038181506130308906,0.014373927992022386,0.2656302866655507,0.6,-0.005873435745258558,0.013205539100327613
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,MRR@10,10,500,0.1489068253968254,0.15543960317460317,0.006532777777777778,0.01402457241217383,0.46580940835722684,0.8,-0.004215154761904762,0.016216009920634912
mooccubex,bge-base,cached-mnrl,dev,CA-HNM-rank-matched,CA-HNM-full,MAP@100,10,500,0.14583866800553272,0.15053445480961267,0.004695786804079951,0.01164439918168812,0.40326570145967716,0.7,-0.003532843366849308,0.012930933449741017
